EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
10, 2, -3, -2, -1, -2, -4, -2, 2021-08-24 19:10:40.496036
-2, 0, 0, 1, 0, 0, -1, -1, 2021-08-24 19:10:40.502038
-1, 0, -1, 1, 2, 3, 3, 3, 2021-08-24 19:10:40.502038
-2, -1, 2, 1, -2, 0, -3, -5, 2021-08-24 19:10:40.518032
-4, -3, -2, 0, -2, -1, 0, 2, 2021-08-24 19:10:40.519037
-1, -3, -2, -2, -3, 1, 2, 3, 2021-08-24 19:10:40.520034
3, 0, 1, -1, 0, 0, -1, 1, 2021-08-24 19:10:40.520034
-12, -5, -1, 0, 0, 0, -1, -6, 2021-08-24 19:10:40.533030
19, 7, 2, 0, 2, 2, 3, 6, 2021-08-24 19:10:40.533030
-3, -4, -2, -2, -2, -5, -1, 4, 2021-08-24 19:10:40.535035
3, 0, -1, -1, -1, -1, -1, -3, 2021-08-24 19:10:40.535035
-6, -1, 0, 0, 0, -1, -1, -4, 2021-08-24 19:10:40.556026
-4, 0, 2, -2, -1, -3, -4, -7, 2021-08-24 19:10:40.556026
-1, 0, -2, -2, -3, -3, -5, -1, 2021-08-24 19:10:40.557027
-2, -2, 0, 1, -1, -2, -2, 0, 2021-08-24 19:10:40.557027
1, 1, 1, 1, 0, -1, -1, 1, 2021-08-24 19:10:40.586023
-7, -4, -3, -1, 0, 0, 0, 1, 2021-08-24 19:10:40.586023
7, -1, -1, -2, 0, 5, 5, 5, 2021-08-24 19:10:40.587019
2, 0, -3, -2, -1, 3, 2, 2, 2021-08-24 19:10:40.587019
4, 2, -1, -3, -2, -1, 1, 1, 2021-08-24 19:10:40.593020
3, 1, -1, -1, -3, -2, -2, 1, 2021-08-24 19:10:40.593020
-2, 1, 1, -1, -1, -1, -1, 0, 2021-08-24 19:10:40.595020
-7, -2, -1, -2, -2, -3, -2, -5, 2021-08-24 19:10:40.595020
5, 1, -2, -1, -4, -5, -3, -2, 2021-08-24 19:10:40.616016
-12, -5, 1, 0, -1, 1, -3, -7, 2021-08-24 19:10:40.616016
-2, 0, -2, -2, -2, -2, -5, -2, 2021-08-24 19:10:40.617015
-1, 0, -1, -1, -1, 0, -1, 0, 2021-08-24 19:10:40.617015
8, 0, -2, -2, -1, 0, 1, 5, 2021-08-24 19:10:40.638526
0, -2, 0, 0, 1, 1, 1, 1, 2021-08-24 19:10:40.638526
-6, -3, -3, -2, -5, -5, -5, -6, 2021-08-24 19:10:40.639527
5, 2, 1, -1, 0, 1, 2, 1, 2021-08-24 19:10:40.639527
2, 2, 1, 0, 2, 0, -2, 3, 2021-08-24 19:10:40.653524
-6, -2, -1, 0, -2, -1, 0, -2, 2021-08-24 19:10:40.653524
-2, 1, 0, 0, 0, 1, -2, -5, 2021-08-24 19:10:40.654524
0, -1, -2, 0, -1, -1, -1, 2, 2021-08-24 19:10:40.654524
-7, -1, -3, -1, -1, -2, -1, -4, 2021-08-24 19:10:40.675519
0, -2, -1, -1, -1, -1, 0, 3, 2021-08-24 19:10:40.675519
2, -4, -2, -1, 0, 0, 2, -1, 2021-08-24 19:10:40.677519
8, 5, 0, -1, -1, 1, -3, 2, 2021-08-24 19:10:40.677519
-2, -3, 0, -1, -1, 0, -1, -4, 2021-08-24 19:10:40.698516
-3, 0, 1, 0, 1, -1, -1, -2, 2021-08-24 19:10:40.698516
-6, 1, 1, 2, 0, 0, 2, 0, 2021-08-24 19:10:40.699516
-2, -1, -1, -1, 1, 3, 1, 1, 2021-08-24 19:10:40.699516
2, 0, 0, -1, -1, 0, 1, 0, 2021-08-24 19:10:40.712514
-5, -3, -2, -2, -4, -3, -4, -3, 2021-08-24 19:10:40.712514
-2, -1, -1, -1, -1, 0, -1, 0, 2021-08-24 19:10:40.719511
-1, -3, -3, -2, -1, -2, -3, -3, 2021-08-24 19:10:40.719511
0, 3, 2, 1, -1, 0, -3, 1, 2021-08-24 19:10:40.735510
-5, -3, -1, -1, -1, -1, -1, -1, 2021-08-24 19:10:40.735510
11, -1, -2, -3, 0, 0, 3, 5, 2021-08-24 19:10:40.737509
-10, -4, -1, -2, 0, 1, 0, -9, 2021-08-24 19:10:40.737509
-3, -2, -1, -1, -2, -1, -2, -2, 2021-08-24 19:10:40.758506
0, 2, -1, 0, -1, -1, -1, -1, 2021-08-24 19:10:40.758506
-5, -4, -1, 0, 0, 0, 0, -3, 2021-08-24 19:10:40.759506
20, 6, 0, -2, 0, 3, 5, 13, 2021-08-24 19:10:40.759506
-7, -5, -2, 0, 0, 0, 0, -3, 2021-08-24 19:10:40.780502
8, 0, 0, -1, 0, -1, 1, 1, 2021-08-24 19:10:40.780502
