EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
0, 1, 0, -2, 0, -3, -3, 0, 2021-08-18 13:01:36.692882
-1, 0, -2, -1, -1, -4, 2, 0, 2021-08-18 13:01:36.712881
-1, 1, 0, 0, 0, 0, -2, -3, 2021-08-18 13:01:36.713881
-1, -1, 1, 2, 0, 0, -4, -1, 2021-08-18 13:01:36.714881
-2, -3, -1, 0, -2, -5, -7, -1, 2021-08-18 13:01:36.714881
2, -1, -1, -2, -1, 1, 10, 1, 2021-08-18 13:01:36.727881
0, -2, -2, 0, 1, 1, 2, 2, 2021-08-18 13:01:36.727881
-2, -1, -2, -1, 1, 2, -3, -1, 2021-08-18 13:01:36.729881
-1, 0, -1, -1, -2, -4, -4, -2, 2021-08-18 13:01:36.729881
0, -2, -2, -1, -2, -1, -1, -1, 2021-08-18 13:01:36.750882
-1, -2, -2, -1, -1, -3, -3, -3, 2021-08-18 13:01:36.750882
1, 0, 1, 0, -1, -3, 0, -1, 2021-08-18 13:01:36.751882
-2, -3, -2, 0, 3, 4, 2, 0, 2021-08-18 13:01:36.752880
-1, 0, -1, -1, -2, -3, -3, -2, 2021-08-18 13:01:36.772881
-2, 0, -1, -1, -1, 1, 2, 0, 2021-08-18 13:01:36.773881
-1, -1, -3, -3, -3, -2, 0, 2, 2021-08-18 13:01:36.774881
-1, 0, 0, 0, -2, 0, 2, 1, 2021-08-18 13:01:36.774881
-2, -2, -2, -2, 0, -5, -3, -5, 2021-08-18 13:01:36.787943
1, -3, -1, 1, 0, -3, -3, 1, 2021-08-18 13:01:36.787943
-1, 0, -1, 1, 1, 2, -3, -2, 2021-08-18 13:01:36.789901
2, 0, 0, 0, 0, 3, 8, 0, 2021-08-18 13:01:36.789901
-1, 0, -1, 0, 1, 4, 1, -2, 2021-08-18 13:01:36.810901
-2, 0, 1, -1, -1, -2, -6, -4, 2021-08-18 13:01:36.810901
-1, -1, 0, -3, 0, -5, -1, 1, 2021-08-18 13:01:36.811901
-2, 0, -2, -1, -2, -4, -3, -3, 2021-08-18 13:01:36.812901
-1, -2, -2, -1, 2, 0, -3, -2, 2021-08-18 13:01:36.832901
0, 0, -2, -1, 0, 1, -1, 1, 2021-08-18 13:01:36.833902
-1, 0, -1, 0, -2, 0, 0, 1, 2021-08-18 13:01:36.834902
-2, -1, -1, -3, -2, -2, -2, -1, 2021-08-18 13:01:36.834902
-2, -1, 0, 0, -2, 0, 0, 0, 2021-08-18 13:01:36.847901
0, -2, -2, -3, -3, -1, -2, -1, 2021-08-18 13:01:36.847901
-2, 0, -1, -2, -1, -1, -1, -2, 2021-08-18 13:01:36.853901
0, -1, -1, 0, 1, 0, 0, -1, 2021-08-18 13:01:36.854903
-2, -1, 0, -2, 0, -2, 0, 3, 2021-08-18 13:01:36.870902
-3, -2, 0, -1, 0, 0, 0, -3, 2021-08-18 13:01:36.870902
0, -1, -2, -2, -2, 0, 1, 0, 2021-08-18 13:01:36.871900
-2, -2, 0, 1, 1, -1, -1, -2, 2021-08-18 13:01:36.872902
-2, -1, -1, 0, 0, -3, -4, 1, 2021-08-18 13:01:36.892901
0, -2, 0, -1, -2, 2, 2, 1, 2021-08-18 13:01:36.893901
-2, -2, 1, 1, -2, -1, -3, -3, 2021-08-18 13:01:36.894901
-1, -1, -3, -1, -1, -4, -1, -2, 2021-08-18 13:01:36.894901
3, 0, -1, -2, -2, -1, 1, 2, 2021-08-18 13:01:36.915901
0, 0, -2, -1, -1, -1, 1, 2, 2021-08-18 13:01:36.915901
-1, -2, -3, 0, -1, 3, -3, -2, 2021-08-18 13:01:36.916901
1, -2, 0, 1, 3, 4, 6, -1, 2021-08-18 13:01:36.917901
-1, -1, -2, 0, -1, -2, -4, -2, 2021-08-18 13:01:36.930901
0, -2, -1, -1, -2, -1, -2, 0, 2021-08-18 13:01:36.930901
-2, -2, -1, -1, -2, -3, -3, -1, 2021-08-18 13:01:36.931901
-1, -3, -2, -1, -2, -1, -3, 0, 2021-08-18 13:01:36.931901
-2, -1, -1, -3, -1, -1, 0, -2, 2021-08-18 13:01:36.952901
-2, -2, 1, -1, -2, -3, -3, -2, 2021-08-18 13:01:36.953902
-1, -1, -1, 1, 0, -1, 1, -1, 2021-08-18 13:01:36.954901
1, -1, 0, 0, -2, -1, -1, 0, 2021-08-18 13:01:36.954901
-1, -1, 0, 0, -1, -1, -2, -2, 2021-08-18 13:01:36.967902
-1, 0, -1, -3, 1, -1, 0, 1, 2021-08-18 13:01:36.967902
1, -1, 1, -1, -2, -2, 0, -2, 2021-08-18 13:01:36.974901
-3, 0, -2, -1, -1, -1, -3, -1, 2021-08-18 13:01:36.974901
1, 0, -1, -1, 0, 0, 0, 0, 2021-08-18 13:01:36.989901
-2, -1, 0, 0, 0, 1, 2, 0, 2021-08-18 13:01:36.989901
0, -2, -2, 0, 0, 0, 2, -1, 2021-08-18 13:01:36.997901
0, -1, -2, 0, -2, -3, -4, -1, 2021-08-18 13:01:36.998902
-3, -1, -2, -2, -1, -2, -6, -5, 2021-08-18 13:01:37.013412
0, 0, -2, -1, 0, -1, -5, -2, 2021-08-18 13:01:37.013412
0, 0, -1, -2, 2, 0, -3, 1, 2021-08-18 13:01:37.028411
-2, -2, -1, -1, -4, -2, 5, -3, 2021-08-18 13:01:37.028411
0, -3, -1, 0, -2, 0, -2, 0, 2021-08-18 13:01:37.029411
0, 0, -1, 1, -1, 1, 4, 4, 2021-08-18 13:01:37.029411
-1, -1, -1, -3, -2, -1, 3, -1, 2021-08-18 13:01:37.034410
0, -1, 3, 0, 2, 4, -2, 1, 2021-08-18 13:01:37.034410
0, -1, -1, -1, -1, -1, -1, -1, 2021-08-18 13:01:37.050412
0, -1, -1, -2, 0, -1, -5, -1, 2021-08-18 13:01:37.051411
-2, -1, 0, 1, -3, -4, -6, -3, 2021-08-18 13:01:37.052411
-1, -2, -2, -2, 1, -3, 1, 1, 2021-08-18 13:01:37.052411
0, 0, 0, 0, 0, 2, 5, 3, 2021-08-18 13:01:37.073412
0, -1, -1, 1, 2, -3, -4, -3, 2021-08-18 13:01:37.073412
-1, 0, -2, -2, 0, 0, 1, 1, 2021-08-18 13:01:37.075412
-1, -1, -2, 0, -1, -2, -2, -1, 2021-08-18 13:01:37.075412
0, -1, -2, 0, -1, -2, 0, 1, 2021-08-18 13:01:37.087411
-1, -1, 1, -1, 0, -2, 1, -1, 2021-08-18 13:01:37.087411
-1, -1, 1, -1, 1, 7, 1, -1, 2021-08-18 13:01:37.094412
-1, 0, -1, -2, -2, -2, -2, -4, 2021-08-18 13:01:37.094412
-2, -2, -2, 1, -2, 0, -4, -3, 2021-08-18 13:01:37.110411
-1, -1, -1, -1, -1, 0, 3, 1, 2021-08-18 13:01:37.111411
0, -1, -1, 0, -2, -1, -1, 0, 2021-08-18 13:01:37.112411
-1, -1, 1, -1, 0, -1, -8, 0, 2021-08-18 13:01:37.112411
