EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
1, 0, 2, 3, 1, 1, 2, 1, 2021-08-20 18:14:58.663508
-10, -3, 2, 0, -1, -1, -1, -1, 2021-08-20 18:14:58.669512
12, -3, -1, 0, -2, 2, -2, 1, 2021-08-20 18:14:58.669512
-13, 3, 0, -4, -2, -2, -3, 0, 2021-08-20 18:14:58.684510
7, -6, -4, -1, 1, -1, 0, -1, 2021-08-20 18:14:58.684510
11, 4, 2, -2, -2, -1, 0, 0, 2021-08-20 18:14:58.700511
-15, -6, -5, 0, 0, -1, -1, 1, 2021-08-20 18:14:58.701513
1, -2, -1, -2, 0, 0, 0, 0, 2021-08-20 18:14:58.702509
-2, -1, 0, -1, -2, -1, -3, -2, 2021-08-20 18:14:58.702509
-14, -3, -7, 1, -1, -1, 1, -2, 2021-08-20 18:14:58.715509
13, 9, 6, -1, 0, -2, 0, -2, 2021-08-20 18:14:58.716509
9, 0, -3, -2, -2, -3, -4, -1, 2021-08-20 18:14:58.717509
-2, 1, -2, -2, -1, 1, 1, 0, 2021-08-20 18:14:58.717509
-14, -2, 0, 0, 0, -2, 0, -2, 2021-08-20 18:14:58.729508
26, -8, -6, -1, -1, -1, 1, -1, 2021-08-20 18:14:58.729508
-28, 5, 2, 0, 0, 0, -1, 0, 2021-08-20 18:14:58.745507
27, 0, -2, -3, -2, -2, 0, 1, 2021-08-20 18:14:58.745507
3, 2, 4, 2, -1, -1, 0, 2, 2021-08-20 18:14:58.769514
-10, 7, 1, 0, -1, 0, -1, 0, 2021-08-20 18:14:58.769514
5, -1, -1, -2, 0, -1, -1, -3, 2021-08-20 18:14:58.776507
-8, 3, -2, -3, -1, -2, -1, -1, 2021-08-20 18:14:58.776507
0, -8, -2, 1, 0, 0, 0, -1, 2021-08-20 18:14:58.777508
-1, 0, -1, -1, -3, 0, 0, 0, 2021-08-20 18:14:58.777508
3, -4, -1, 1, -1, -1, 1, -1, 2021-08-20 18:14:58.778508
-12, 4, 2, 1, 0, 0, -1, 1, 2021-08-20 18:14:58.778508
