EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
1, 3, 3, 6, 1, 0, 1, -2, 2021-08-24 19:08:11.767589
1, -1, -9, -8, 1, -1, 0, 0, 2021-08-24 19:08:11.797585
-2, -3, -2, -7, -3, -2, -3, -2, 2021-08-24 19:08:11.797585
-2, -2, 5, 5, 0, -3, -3, -3, 2021-08-24 19:08:11.797585
2, 3, -1, 2, -1, 2, 3, 2, 2021-08-24 19:08:11.797585
-1, -2, -5, -6, -1, -1, -2, -3, 2021-08-24 19:08:11.805583
-1, -2, 2, -1, -2, -3, -1, -2, 2021-08-24 19:08:11.805583
-3, 0, 1, 3, 0, 1, -2, -3, 2021-08-24 19:08:11.805583
-17, -6, -1, 0, 2, 1, 1, -1, 2021-08-24 19:08:11.806583
13, 3, -4, -2, -2, -4, -5, -6, 2021-08-24 19:08:11.826579
2, 2, -1, 0, -1, -4, -2, -1, 2021-08-24 19:08:11.826579
-4, 0, 1, -1, 0, -1, 0, -2, 2021-08-24 19:08:11.826579
8, 3, 1, -1, -1, 0, 0, 0, 2021-08-24 19:08:11.827578
-7, -3, 0, 0, -1, 0, -1, -2, 2021-08-24 19:08:11.848577
-2, -2, -2, -3, -2, -3, -1, -1, 2021-08-24 19:08:11.848577
5, 0, -1, 0, 0, 2, 2, 2, 2021-08-24 19:08:11.856572
-8, -3, 0, 2, 0, -1, -3, -4, 2021-08-24 19:08:11.856572
-1, 0, -3, -1, 0, 0, 1, 3, 2021-08-24 19:08:11.871569
6, -1, -2, -4, -1, -1, -3, -1, 2021-08-24 19:08:11.872570
-6, -4, 0, 0, 0, -2, 0, -3, 2021-08-24 19:08:11.872570
4, 1, 3, 2, 0, 0, -1, 0, 2021-08-24 19:08:11.872570
1, 2, 1, 0, -3, -2, -1, 3, 2021-08-24 19:08:11.894602
-5, -4, -3, -4, -2, -3, -2, -4, 2021-08-24 19:08:11.894602
-6, -8, -16, -9, -1, 0, -1, -3, 2021-08-24 19:08:11.895598
-2, -9, -35, -37, -11, -5, -5, -1, 2021-08-24 19:08:11.895598
-1, 3, 46, 43, 1, -3, -1, -3, 2021-08-24 19:08:11.908597
4, 12, 31, 25, 12, 5, 3, 2, 2021-08-24 19:08:11.908597
10, 10, 9, 11, 10, 8, 7, 6, 2021-08-24 19:08:11.909600
4, 1, -4, -3, 0, 0, 0, -2, 2021-08-24 19:08:11.909600
-4, -5, -32, -27, -4, -1, -2, 0, 2021-08-24 19:08:11.923594
-6, -9, -9, -6, -8, -3, 0, -1, 2021-08-24 19:08:11.923594
-5, -9, -12, -16, -7, -5, -3, -2, 2021-08-24 19:08:11.924594
-5, -11, -24, -10, -6, -3, -3, -1, 2021-08-24 19:08:11.924594
-9, -9, 24, 9, -4, -2, -4, -3, 2021-08-24 19:08:11.946590
10, 17, 21, 15, 5, 4, 2, 5, 2021-08-24 19:08:11.946590
12, 17, 8, 5, 2, 3, 3, 7, 2021-08-24 19:08:11.947592
-8, -18, -31, -24, -5, -4, -4, -6, 2021-08-24 19:08:11.947592
-4, -6, -11, 3, -4, -6, -6, -4, 2021-08-24 19:08:11.968586
-1, 5, 8, -7, -5, -3, -4, -2, 2021-08-24 19:08:11.968586
8, 12, 24, 12, 0, 4, 5, 6, 2021-08-24 19:08:11.969589
5, 15, 34, 33, 19, 6, 2, 0, 2021-08-24 19:08:11.970587
